California, Precipitation
Units: Inches
Base Period: 1981-2010
Missing: -99
Date,Value,Anomaly
191709,0.19,-0.23
191710,0.01,-1.26
191711,1.56,-1.14
191712,1.19,-2.82
191801,1.06,-3.01
191802,5.20,1.24
191803,5.33,2.00
191804,0.61,-1.05
191805,0.35,-0.61
191806,0.12,-0.22
191807,0.24,0.06
191808,0.27,0.04
191809,1.55,1.13
191810,1.00,-0.27
191811,2.51,-0.19
191812,2.09,-1.92
191901,2.37,-1.70
191902,6.02,2.06
191903,3.05,-0.28
191904,0.88,-0.78
191905,0.39,-0.57
191906,0.02,-0.32
191907,0.22,0.04
191908,0.08,-0.15
191909,1.01,0.59
191910,0.50,-0.77
191911,0.82,-1.88
191912,3.28,-0.73
192001,0.91,-3.16
192002,2.30,-1.66
192003,4.49,1.16
192004,2.04,0.38
192005,0.21,-0.75
192006,0.51,0.17
192007,0.13,-0.05
192008,0.47,0.24
192009,0.37,-0.05
192010,2.08,0.81
192011,4.51,1.81
192012,4.92,0.91
192101,5.60,1.53
192102,1.98,-1.98
192103,2.22,-1.11
192104,0.49,-1.17
192105,1.67,0.71
192106,0.19,-0.15
192107,0.12,-0.06
192108,0.27,0.04
192109,0.43,0.01
192110,0.88,-0.39
192111,1.45,-1.25
192112,6.58,2.57
192201,2.89,-1.18
192202,5.55,1.59
192203,3.00,-0.33
192204,0.63,-1.03
192205,1.05,0.09
192206,0.34,0.00
192207,0.25,0.07
192208,0.35,0.12
192209,0.11,-0.31
192210,1.48,0.21
192211,2.68,-0.02
192212,5.96,1.95
192301,2.80,-1.27
192302,0.92,-3.04
192303,0.34,-2.99
192304,3.41,1.75
192305,0.44,-0.52
192306,0.66,0.32
192307,0.16,-0.02
192308,0.21,-0.02
192309,1.25,0.83
192310,0.98,-0.29
192311,0.87,-1.83
192312,1.57,-2.44
192401,1.60,-2.47
192402,1.54,-2.42
192403,2.19,-1.14
192404,0.75,-0.91
192405,0.07,-0.89
192406,0.05,-0.29
192407,0.03,-0.15
192408,0.15,-0.08
192409,0.14,-0.28
192410,2.92,1.65
192411,2.10,-0.60
192412,3.72,-0.29
192501,1.38,-2.69
192502,5.34,1.38
192503,2.33,-1.00
192504,2.82,1.16
192505,1.59,0.63
192506,0.54,0.20
192507,0.25,0.07
192508,0.35,0.12
192509,0.70,0.28
192510,1.04,-0.23
192511,1.74,-0.96
192512,1.70,-2.31
192601,3.03,-1.04
192602,4.83,0.87
192603,0.40,-2.93
192604,3.88,2.22
192605,0.63,-0.33
192606,0.09,-0.25
192607,0.08,-0.10
192608,0.21,-0.02
192609,0.11,-0.31
192610,1.24,-0.03
192611,6.99,4.29
192612,2.67,-1.34
192701,3.15,-0.92
192702,7.61,3.65
192703,2.37,-0.96
192704,1.98,0.32
192705,0.62,-0.34
192706,0.37,0.03
192707,0.18,0.00
192708,0.10,-0.13
192709,0.19,-0.23
192710,1.83,0.56
192711,3.65,0.95
192712,2.91,-1.10
192801,1.71,-2.36
192802,2.23,-1.73
192803,4.50,1.17
192804,1.50,-0.16
192805,0.56,-0.40
192806,0.12,-0.22
192807,0.02,-0.16
192808,0.02,-0.21
192809,0.10,-0.32
192810,0.45,-0.82
192811,2.78,0.08
192812,3.24,-0.77
192901,1.57,-2.50
192902,1.83,-2.13
192903,1.84,-1.49
192904,1.82,0.16
192905,0.12,-0.84
192906,1.06,0.72
192907,0.03,-0.15
192908,0.24,0.01
192909,0.28,-0.14
192910,0.17,-1.10
192911,0.00,-2.70
192912,4.38,0.37
193001,4.59,0.52
193002,2.87,-1.09
193003,2.68,-0.65
193004,1.51,-0.15
193005,1.20,0.24
193006,0.05,-0.29
193007,0.04,-0.14
193008,0.14,-0.09
193009,0.63,0.21
193010,0.42,-0.85
193011,2.01,-0.69
193012,0.55,-3.46
193101,3.58,-0.49
193102,2.47,-1.49
193103,1.45,-1.88
193104,1.25,-0.41
193105,0.96,0.00
193106,0.78,0.44
193107,0.04,-0.14
193108,0.57,0.34
193109,0.26,-0.16
193110,1.28,0.01
193111,2.68,-0.02
193112,7.65,3.64
193201,2.80,-1.27
193202,3.49,-0.47
193203,1.09,-2.24
193204,1.49,-0.17
193205,1.20,0.24
193206,0.22,-0.12
193207,0.07,-0.11
193208,0.05,-0.18
193209,0.19,-0.23
193210,0.43,-0.84
193211,1.06,-1.64
193212,2.70,-1.31
193301,5.69,1.62
193302,0.79,-3.17
193303,2.54,-0.79
193304,0.58,-1.08
193305,1.62,0.66
193306,0.21,-0.13
193307,0.08,-0.10
193308,0.12,-0.11
193309,0.14,-0.28
193310,1.43,0.16
193311,0.11,-2.59
193312,5.39,1.38
193401,1.91,-2.16
193402,3.01,-0.95
193403,0.96,-2.37
193404,0.60,-1.06
193405,0.84,-0.12
193406,0.68,0.34
193407,0.11,-0.07
193408,0.24,0.01
193409,0.33,-0.09
193410,1.99,0.72
193411,3.79,1.09
193412,2.97,-1.04
193501,4.89,0.82
193502,2.62,-1.34
193503,3.31,-0.02
193504,4.31,2.65
193505,0.30,-0.66
193506,0.02,-0.32
193507,0.16,-0.02
193508,0.35,0.12
193509,0.25,-0.17
193510,1.21,-0.06
193511,1.05,-1.65
193512,2.69,-1.32
193601,4.83,0.76
193602,8.04,4.08
193603,1.51,-1.82
193604,1.38,-0.28
193605,0.69,-0.27
193606,0.83,0.49
193607,0.41,0.23
193608,0.24,0.01
193609,0.18,-0.24
193610,1.17,-0.10
193611,0.14,-2.56
193612,4.53,0.52
193701,3.40,-0.67
193702,6.20,2.24
193703,4.86,1.53
193704,1.49,-0.17
193705,0.30,-0.66
193706,0.75,0.41
193707,0.18,0.00
193708,0.01,-0.22
193709,0.09,-0.33
193710,1.17,-0.10
193711,4.09,1.39
193712,5.26,1.25
193801,3.46,-0.61
193802,8.36,4.40
193803,8.01,4.68
193804,1.85,0.19
193805,0.46,-0.50
193806,0.23,-0.11
193807,0.25,0.07
193808,0.11,-0.12
193809,0.46,0.04
193810,1.51,0.24
193811,1.24,-1.46
193812,2.73,-1.28
193901,3.07,-1.00
193902,1.97,-1.99
193903,2.65,-0.68
193904,0.55,-1.11
193905,1.03,0.07
193906,0.13,-0.21
193907,0.18,0.00
193908,0.18,-0.05
193909,1.11,0.69
193910,0.99,-0.28
193911,0.46,-2.24
193912,3.01,-1.00
194001,7.05,2.98
194002,7.77,3.81
194003,3.74,0.41
194004,1.24,-0.42
194005,0.68,-0.28
194006,0.13,-0.21
194007,0.01,-0.17
194008,0.02,-0.21
194009,0.64,0.22
194010,1.74,0.47
194011,1.24,-1.46
194012,8.41,4.40
194101,5.78,1.71
194102,6.79,2.83
194103,4.52,1.19
194104,3.82,2.16
194105,1.27,0.31
194106,0.45,0.11
194107,0.15,-0.03
194108,0.50,0.27
194109,0.20,-0.22
194110,1.55,0.28
194111,1.91,-0.79
194112,7.92,3.91
194201,3.64,-0.43
194202,3.58,-0.38
194203,1.62,-1.71
194204,3.57,1.91
194205,1.86,0.90
194206,0.10,-0.24
194207,0.04,-0.14
194208,0.28,0.05
194209,0.08,-0.34
194210,0.53,-0.74
194211,3.55,0.85
194212,3.62,-0.39
194301,7.74,3.67
194302,2.33,-1.63
194303,4.14,0.81
194304,2.08,0.42
194305,0.43,-0.53
194306,0.54,0.20
194307,0.08,-0.10
194308,0.08,-0.15
194309,0.16,-0.26
194310,1.26,-0.01
194311,0.96,-1.74
194312,2.98,-1.03
194401,2.87,-1.20
194402,5.35,1.39
194403,1.74,-1.59
194404,1.90,0.24
194405,0.74,-0.22
194406,0.63,0.29
194407,0.12,-0.06
194408,0.03,-0.20
194409,0.10,-0.32
194410,1.10,-0.17
194411,5.09,2.39
194412,2.63,-1.38
194501,1.19,-2.88
194502,5.04,1.08
194503,3.91,0.58
194504,0.59,-1.07
194505,1.49,0.53
194506,0.40,0.06
194507,0.14,-0.04
194508,0.53,0.30
194509,0.17,-0.25
194510,2.93,1.66
194511,3.12,0.42
194512,6.87,2.86
194601,1.50,-2.57
