California, Precipitation
Units: Inches
Base Period: 1981-2010
Missing: -99
Date,Value,Anomaly
199304,1.45,-0.21
199305,1.44,0.48
199306,0.87,0.53
199307,0.03,-0.15
199308,0.22,-0.01
199309,0.04,-0.38
199310,0.82,-0.45
199311,1.42,-1.28
199312,2.52,-1.49
199401,1.91,-2.16
199402,3.96,0.00
199403,1.24,-2.09
199404,1.36,-0.30
199405,1.35,0.39
199406,0.10,-0.24
199407,0.05,-0.13
199408,0.06,-0.17
199409,0.34,-0.08
199410,0.63,-0.64
199411,3.73,1.03
199412,2.81,-1.20
199501,12.50,8.43
199502,1.27,-2.69
199503,9.57,6.24
199504,2.69,1.03
199505,1.73,0.77
199506,0.95,0.61
199507,0.17,-0.01
199508,0.06,-0.17
199509,0.07,-0.35
199510,0.05,-1.22
199511,0.36,-2.34
199512,5.78,1.77
199601,5.12,1.05
199602,5.99,2.03
199603,2.57,-0.76
199604,2.10,0.44
199605,2.01,1.05
199606,0.18,-0.16
199607,0.20,0.02
199608,0.06,-0.17
199609,0.27,-0.15
199610,1.70,0.43
199611,3.35,0.65
199612,8.96,4.95
199701,7.62,3.55
199702,0.71,-3.25
199703,0.84,-2.49
199704,0.89,-0.77
199705,0.38,-0.58
199706,0.65,0.31
199707,0.31,0.13
199708,0.27,0.04
199709,0.94,0.52
199710,1.08,-0.19
199711,3.95,1.25
199712,2.96,-1.05
199801,6.97,2.90
199802,11.50,7.54
199803,4.15,0.82
199804,2.17,0.51
199805,3.03,2.07
199806,0.77,0.43
199807,0.20,0.02
199808,0.13,-0.10
199809,0.74,0.32
199810,0.76,-0.51
199811,4.34,1.64
199812,1.65,-2.36
199901,3.54,-0.53
199902,4.98,1.02
199903,2.40,-0.93
199904,1.87,0.21
199905,0.33,-0.63
199906,0.25,-0.09
199907,0.31,0.13
199908,0.21,-0.02
199909,0.18,-0.24
199910,0.71,-0.56
199911,2.20,-0.50
199912,0.65,-3.36
200001,5.09,1.02
200002,6.93,2.97
200003,1.92,-1.41
200004,1.80,0.14
200005,0.94,-0.02
200006,0.31,-0.03
200007,0.06,-0.12
200008,0.27,0.04
200009,0.35,-0.07
200010,2.20,0.93
200011,0.79,-1.91
200012,0.77,-3.24
200101,3.52,-0.55
200102,4.42,0.46
200103,2.21,-1.12
200104,1.75,0.09
200105,0.15,-0.81
200106,0.23,-0.11
200107,0.28,0.10
200108,0.05,-0.18
200109,0.30,-0.12
200110,0.65,-0.62
200111,4.21,1.51
200112,5.25,1.24
200201,2.22,-1.85
200202,1.45,-2.51
200203,1.91,-1.42
200204,0.88,-0.78
200205,0.59,-0.37
200206,0.07,-0.27
200207,0.06,-0.12
200208,0.01,-0.22
200209,0.11,-0.31
200210,0.06,-1.21
200211,3.18,0.48
200212,8.14,4.13
200301,1.92,-2.15
200302,2.66,-1.30
200303,2.77,-0.56
200304,3.98,2.32
200305,1.09,0.13
200306,0.04,-0.30
200307,0.22,0.04
200308,0.57,0.34
200309,0.17,-0.25
200310,0.09,-1.18
200311,2.35,-0.35
200312,5.77,1.76
200401,2.27,-1.80
200402,5.88,1.92
200403,1.08,-2.25
200404,0.70,-0.96
200405,0.45,-0.51
200406,0.08,-0.26
200407,0.06,-0.12
200408,0.19,-0.04
200409,0.14,-0.28
200410,3.72,2.45
200411,1.68,-1.02
200412,5.51,1.50
200501,5.56,1.49
200502,4.03,0.07
200503,3.69,0.36
200504,1.79,0.13
200505,2.54,1.58
200506,0.67,0.33
200507,0.14,-0.04
200508,0.29,0.06
200509,0.32,-0.10
200510,1.00,-0.27
200511,2.26,-0.44
200512,7.81,3.80
200601,4.54,0.47
200602,2.69,-1.27
200603,5.41,2.08
200604,4.16,2.50
200605,0.73,-0.23
200606,0.15,-0.19
200607,0.15,-0.03
200608,0.06,-0.17
200609,0.06,-0.36
200610,0.45,-0.82
200611,2.08,-0.62
200612,3.13,-0.88
200701,0.81,-3.26
200702,4.24,0.28
200703,0.74,-2.59
200704,1.27,-0.39
200705,0.32,-0.64
200706,0.12,-0.22
200707,0.18,0.00
200708,0.12,-0.11
200709,0.50,0.08
200710,1.50,0.23
200711,0.82,-1.88
200712,3.21,-0.80
200801,7.11,3.04
200802,2.76,-1.20
200803,0.61,-2.72
200804,0.34,-1.32
200805,0.54,-0.42
200806,0.03,-0.31
200807,0.14,-0.04
200808,0.12,-0.11
200809,0.04,-0.38
200810,0.70,-0.57
200811,2.41,-0.29
200812,3.05,-0.96
200901,1.27,-2.80
200902,4.64,0.68
200903,2.26,-1.07
200904,0.57,-1.09
200905,1.24,0.28
200906,0.60,0.26
200907,0.05,-0.13
200908,0.12,-0.11
200909,0.09,-0.33
200910,2.07,0.80
200911,0.99,-1.71
200912,3.15,-0.86
201001,6.48,2.41
201002,3.65,-0.31
201003,2.19,-1.14
201004,3.47,1.81
201005,1.07,0.11
201006,0.26,-0.08
201007,0.07,-0.11
201008,0.10,-0.13
201009,0.16,-0.26
201010,3.00,1.73
201011,2.60,-0.10
201012,8.13,4.12
201101,1.28,-2.79
201102,3.34,-0.62
201103,6.41,3.08
201104,1.10,-0.56
201105,1.44,0.48
201106,0.92,0.58
201107,0.22,0.04
201108,0.10,-0.13
201109,0.28,-0.14
201110,1.54,0.27
201111,1.69,-1.01
201112,0.47,-3.54
201201,3.12,-0.95
201202,1.22,-2.74
201203,4.74,1.41
201204,2.48,0.82
201205,0.20,-0.76
201206,0.32,-0.02
201207,0.26,0.08
201208,0.30,0.07
201209,0.10,-0.32
201210,0.99,-0.28
201211,3.57,0.87
201212,6.15,2.14
201301,1.19,-2.88
201302,0.58,-3.38
201303,1.33,-2.00
201304,0.71,-0.95
201305,0.62,-0.34
201306,0.38,0.04
201307,0.28,0.10
201308,0.38,0.15
201309,0.77,0.35
201310,0.26,-1.01
201311,0.99,-1.71
201312,0.44,-3.57
201401,0.54,-3.53
201402,4.02,0.06
201403,3.28,-0.05
201404,1.06,-0.60
201405,0.35,-0.61
201406,0.06,-0.28
201407,0.22,0.04
201408,0.45,0.22
201409,0.72,0.30
201410,1.06,-0.21
201411,1.84,-0.86
201412,6.30,2.29
201501,0.65,-3.42
201502,2.86,-1.10
201503,0.78,-2.55
201504,1.06,-0.60
201505,0.93,-0.03
201506,0.23,-0.11
201507,0.66,0.48
201508,0.08,-0.15
201509,0.33,-0.09
201510,0.90,-0.37
201511,1.87,-0.83
201512,4.69,0.68
201601,6.39,2.32
201602,1.21,-2.75
201603,4.88,1.55
201604,1.52,-0.14
201605,0.77,-0.19
201606,0.27,-0.07
201607,0.06,-0.12
201608,0.06,-0.17
201609,0.10,-0.32
201610,3.82,2.55
201611,2.16,-0.54
201612,4.49,0.48
201701,9.92,5.85
201702,7.94,3.98
201703,2.45,-0.88
201704,2.76,1.10
201705,0.43,-0.53
201706,0.26,-0.08
201707,0.09,-0.09
201708,0.27,0.04
201709,0.43,0.01
201710,0.34,-0.93
201711,2.98,0.28
201712,0.30,-3.71
201801,3.33,-0.74
201802,0.57,-3.39
201803,5.12,1.79
201804,2.13,0.47
201805,0.66,-0.30
201806,0.07,-0.27
201807,0.22,0.04
201808,0.04,-0.19
201809,0.06,-0.36
201810,0.70,-0.57
201811,2.81,0.11
201812,2.38,-1.63
201901,5.23,1.16
201902,8.57,4.61
201903,4.05,0.72
201904,1.22,-0.44
201905,2.50,1.54
201906,0.09,-0.25
201907,0.08,-0.10
201908,0.13,-0.10
201909,0.61,0.19
201910,0.16,-1.11
201911,1.61,-1.09
201912,4.87,0.86
202001,2.06,-2.01
202002,0.21,-3.75
202003,3.19,-0.14
202004,1.99,0.33
202005,1.20,0.24
202006,0.16,-0.18
202007,0.05,-0.13
202008,0.10,-0.13
202009,0.04,-0.38
202010,0.05,-1.22
202011,1.19,-1.51
202012,1.83,-2.18
202101,3.65,-0.42
202102,1.39,-2.57
202103,1.73,-1.60
202104,0.29,-1.37
202105,0.11,-0.85
202106,0.14,-0.20
202107,0.29,0.11
202108,0.10,-0.13
202109,0.36,-0.06
202110,3.66,2.39
202111,0.95,-1.75
202112,6.27,2.26
202201,0.45,-3.62
